contig,mean_depth,median_depth,max_depth,min_depth
ptg000001l,4.4943195199999995,3.54405,16.4794,0.276755
ptg000002l,2.1643302,1.65958,8.68979,0.106751
ptg000003l,5.0717694,3.88143,18.2742,0.29911
ptg000004l,3.88050984,3.13645,14.8118,0.238994
ptg000005l,2.65534904,2.15296,11.3458,0.164711
ptg000006l,5.17768696,3.93688,18.563,0.326366
ptg000007l,3.89019128,3.17376,14.7731,0.243687
ptg000008l,4.18430824,3.47878,15.6777,0.259937
ptg000009l,4.09118192,3.13636,15.262,0.254224
ptg000010l,2.87678628,2.21545,11.9174,0.191574
ptg000011l,4.7843112,3.78831,17.7463,0.299159
ptg000012l,2.496709,1.96072,10.4441,0.146828
ptg000013l,3.53492252,2.70009,13.9704,0.217415
ptg000014l,4.96400456,3.85367,17.7764,0.308073
ptg000015l,4.9621354,3.86802,18.3809,0.307099
ptg000016l,5.09954012,3.88069,18.129,0.324931
ptg000017l,4.4081772,3.50416,16.0585,0.282313
ptg000018l,2.23029892,1.67614,9.34734,0.125276
ptg000019l,2.44289224,1.85589,10.3275,0.143404
ptg000020l,1.853649912,1.47661,7.07308,0.0782588
ptg000021l,4.0510763999999995,3.34542,15.2259,0.260677
ptg000022l,2.25936776,1.84014,9.49246,0.135705
ptg000023l,0.0190245076,0.0189947,0.0651736,0
ptg000024l,2.66473344,2.11776,11.3421,0.163723
ptg000025l,2.35054328,1.76638,9.84921,0.12829
ptg000026l,2.40385392,1.81474,10.3179,0.146308
ptg000027l,2.30663452,1.77086,9.58279,0.127413
ptg000028l,2.63905584,2.0898,11.5124,0.166422
ptg000029l,3.30257148,2.51859,13.2183,0.219862
ptg000030l,2.06596502,1.95237,7.50887,0.0748885
ptg000031l,3.9910972399999998,3.29392,15.1085,0.25026
ptg000032l,2.40648244,1.85046,10.0743,0.134967
ptg000033l,5.10630736,3.89137,18.2139,0.320642
ptg000034l,4.99780172,3.84057,17.967,0.314482
ptg000035l,2.48839472,1.832,10.795,0.157537
ptg000036l,4.78995692,3.79318,17.4168,0.290721
ptg000038l,5.13297588,3.95564,18.1629,0.324561
ptg000039l,2.600237,2.1033,11.1579,0.166599
ptg000040l,1.3129876,1.05048,5.11908,0.066031
ptg000041l,5.17065932,3.91322,18.672,0.315227
ptg000043l,0.00353659596,0.00289441,0.0107318,0
ptg000044l,4.91709612,3.8848,18.5043,0.318394
ptg000045l,4.6940912,3.56185,16.682,0.283633
ptg000046l,0.0548359896,0.0457618,0.17433,0.00420927
ptg000047l,0.0052520703999999994,0.00460399,0.011798,0
ptg000048c,8.0216216e-4,5.43225e-4,0.00248978,0
ptg000049l,0.0162280256,0.0147211,0.0369058,0
ptg000050l,3.4892624e-4,2.31691e-4,0.00152916,0
ptg000051l,0,0,0,0
ptg000052l,0,0,0,0
ptg000053l,0.0084941348,0.00712234,0.0245391,0
ptg000054l,0,0,0,0
ptg000055l,0,0,0,0
ptg000056l,0,0,0,0
ptg000061l,0,0,0,0
ptg000062l,0.0063966116,0.00522577,0.0224401,0
ptg000063l,0.02109093732,0.0209795,0.059726,0
ptg000064l,0,0,0,0
ptg000065l,0,0,0,0
ptg000066l,0,0,0,0
ptg000067l,0,0,0,0
